Rank,Ticker,Last_Price,Momentum_14d,Vol_Surge,Range_Pos_325,Radar_Score,Threshold,Distance_%,Z_Score,Prev_Close
295,UAL,99.58,0.67,0.51,0.7079,0.2434,14.5112,-98.32,-0.18,99.7
296,GDDY,91.02,3.41,0.72,0.1256,0.3065,18.4178,-98.34,0.01,89.75
297,IONQ,49.24,0.92,0.65,0.4697,0.2829,17.3419,-98.37,-0.24,47.68
298,DOW,36.87,0.1,0.57,0.7465,0.0427,2.9133,-98.53,-0.17,37.32
299,AI,9.87,0.49,0.86,0.0775,0.0325,2.3052,-98.59,-0.14,9.58
300,SNOW,152.45,2.01,0.87,0.2103,0.3698,26.4583,-98.6,-0.11,153.72
301,ASAN,6.63,0.34,1.01,0.0654,0.0225,1.615,-98.61,-0.11,7.05
302,QS,7.54,0.36,0.67,0.2642,0.0642,4.6384,-98.62,-0.21,7.35
303,ENTG,149.11,0.29,0.97,0.8993,0.2568,18.5976,-98.62,-0.24,147.66
304,AES,14.33,0.03,1.01,0.6344,0.0169,1.3796,-98.77,-0.07,14.29
305,FVRR,11.45,0.71,0.95,0.0692,0.0469,3.8862,-98.79,-0.08,11.75
306,ETSY,64.38,0.2,0.7,0.6672,0.0937,8.653,-98.92,-0.17,64.02
307,PAYX,93.93,0.84,0.77,0.1187,0.0764,7.576,-98.99,-0.05,94.26
308,UUP,27.34,0.02,0.52,0.4928,0.0051,0.7011,-99.27,-0.18,27.41
309,VICI,28.84,0.06,0.42,0.3862,0.0097,1.6503,-99.41,-0.09,28.79
310,UEC,15.16,0.03,0.81,0.6859,0.0166,2.9408,-99.43,-0.3,15.59
311,FRSH,8.83,0.05,0.79,0.1572,0.0062,1.1019,-99.44,-0.12,9.03
312,APPN,21.92,0.18,1.03,0.0811,0.0151,4.1452,-99.64,-0.11,23.76
313,IT,158.65,2.42,0.67,0.0438,0.071,27.1433,-99.74,-0.05,157.78
314,DOCU,47.9,0.19,0.81,0.1309,0.0202,9.9165,-99.8,-0.15,48.19
315,DUOL,107.99,3.15,0.9,0.044,0.1244,94.4473,-99.87,-0.15,113.61
316,QVCGA,0.22,-0.3,0.01,0.0022,-0.0,0.866,-100.0,-0.05,0.21
317,SOXS,8.85,-9.78,1.81,0.0,-0.0002,6.544,-100.0,-0.09,10.6
318,CFLT,30.99,0.35,0.0,0.6896,0.0,4.0065,-100.0,-0.19,30.99
319,SQQQ,42.57,-14.34,1.05,0.0,-0.0,3.5828,-100.0,-0.11,45.73
320,HOLX,76.01,0.96,0.0,0.9975,0.0,2.6523,-100.0,-0.11,76.01
321,AXON,403.54,-0.21,1.47,0.118,-0.0365,113.8243,-100.03,-0.19,426.89
322,WDAY,127.83,-0.11,0.88,0.1008,-0.0098,20.34,-100.05,-0.14,130.88
323,CHTR,154.86,-89.83,0.8,0.0006,-0.0405,38.8428,-100.1,-0.06,160.24
324,SMR,12.55,-0.24,0.86,0.0762,-0.0158,12.1128,-100.13,-0.26,12.58
325,BABA,140.06,-0.11,1.05,0.5179,-0.0601,37.6028,-100.16,-0.23,141.0
326,ACP,5.36,-0.0,0.52,0.8897,-0.0004,0.2071,-100.19,-0.13,5.34
327,LCID,6.34,-0.41,0.53,0.0238,-0.0051,2.4189,-100.21,-0.17,6.05
328,KMB,98.31,-0.23,0.72,0.1141,-0.0188,6.4454,-100.29,-0.06,99.56
329,YOU,56.81,-0.02,1.12,0.8805,-0.0197,6.6397,-100.3,-0.25,58.17
330,RBLX,41.91,-19.92,1.3,0.0023,-0.0596,17.4154,-100.34,-0.26,44.78
331,MRSH,163.25,-11.34,0.47,0.0093,-0.0498,9.7215,-100.51,-0.08,166.03
332,KMX,40.34,-0.32,0.47,0.1702,-0.0258,4.9781,-100.52,-0.09,39.91
333,ABT,84.32,-11.68,0.76,0.0044,-0.039,7.412,-100.53,-0.16,87.01
334,BSX,53.93,-7.06,1.08,0.0053,-0.0402,7.417,-100.54,-0.13,56.57
335,TME,9.24,-0.87,0.75,0.0267,-0.0174,3.0569,-100.57,-0.19,9.27
336,RGTI,18.94,-0.7,0.57,0.2355,-0.0933,14.8194,-100.63,-0.3,18.34
337,QUBT,9.6,-0.23,0.76,0.2435,-0.0423,6.5619,-100.65,-0.23,9.63
338,EMB,96.15,-0.03,0.49,0.9776,-0.0127,1.9625,-100.65,-0.31,95.9
339,TTD,23.08,-0.97,2.18,0.0315,-0.0667,9.5752,-100.7,-0.12,23.49
340,ADSK,244.5,-0.81,0.94,0.2644,-0.202,25.7737,-100.78,-0.16,251.04
341,EPAM,99.23,-32.67,1.38,0.0028,-0.1244,15.7492,-100.79,-0.17,104.24
342,CONL,8.82,-1.25,1.11,0.0564,-0.078,9.4853,-100.82,-0.15,8.11
343,SE,86.73,-2.61,0.95,0.0792,-0.1962,23.0517,-100.85,-0.18,88.64
344,MDT,76.15,-8.85,0.79,0.0083,-0.0584,6.7771,-100.86,-0.2,77.96
345,SAP,173.7,-2.18,0.88,0.1052,-0.203,23.4603,-100.87,-0.13,174.71
346,DJT,8.93,-1.27,1.28,0.0237,-0.0387,3.8451,-101.01,-0.15,9.02
347,EH,10.3,-0.92,0.5,0.0601,-0.0275,2.6345,-101.05,-0.16,10.41
348,APD,295.41,-0.74,0.6,0.666,-0.2973,28.0058,-101.06,-0.21,294.99
349,OTIS,74.82,-5.91,1.17,0.0066,-0.0459,4.2312,-101.08,-0.14,77.47
350,HRL,20.44,-0.89,0.69,0.012,-0.0074,0.6786,-101.09,-0.07,20.75
351,TRI,92.94,-1.97,0.8,0.0977,-0.1538,13.7363,-101.12,-0.21,93.37
352,LYFT,14.35,-0.07,1.99,0.2953,-0.0411,3.3414,-101.23,-0.19,14.16
353,TSCO,30.65,-14.16,1.36,0.0021,-0.0414,3.3533,-101.23,-0.11,31.74
354,FIS,43.49,-4.83,1.96,0.0055,-0.0521,4.2386,-101.23,-0.04,47.25
355,PLBY,1.8,-0.01,1.49,0.4865,-0.0072,0.5664,-101.28,-0.24,1.67
356,HYG,80.14,-0.02,0.73,0.9798,-0.0143,1.1215,-101.28,-0.38,79.86
357,ARKK,79.12,-0.2,0.75,0.7498,-0.1129,8.6034,-101.31,-0.24,77.93
358,LULU,131.18,-35.63,0.64,0.0114,-0.2619,19.7355,-101.33,-0.12,133.59
359,INTU,396.31,-8.52,0.88,0.1163,-0.8767,65.4396,-101.34,-0.13,406.78
360,WIT,1.95,-0.19,1.34,0.0115,-0.0029,0.2119,-101.38,-0.12,1.98
361,BNDX,48.14,-0.02,0.71,0.7365,-0.0086,0.6064,-101.42,-0.26,48.08
362,CAG,14.13,-0.34,0.7,0.0424,-0.0103,0.7187,-101.43,0.01,14.36
363,IOT,29.74,-1.07,0.61,0.1651,-0.1077,7.3789,-101.46,-0.19,30.11
364,CPNG,16.98,-4.53,0.86,0.0138,-0.054,3.608,-101.5,-0.18,17.22
365,AIV,4.24,-0.01,0.94,0.4194,-0.0039,0.2588,-101.52,-0.1,4.31
366,CRM,181.82,-4.45,0.97,0.0914,-0.3958,23.721,-101.67,-0.17,186.34
367,ENVX,6.61,-0.22,0.9,0.168,-0.0331,1.987,-101.67,-0.18,6.42
368,KKR,102.52,-1.4,0.82,0.2296,-0.2641,14.686,-101.8,-0.12,100.34
369,ACM,80.59,-5.85,0.81,0.0284,-0.135,7.4514,-101.81,-0.16,81.47
370,LNT,71.76,-0.1,0.97,0.8083,-0.0796,4.4026,-101.81,-0.36,71.69
371,RENT,4.74,-0.21,0.37,0.163,-0.0126,0.6941,-101.81,-0.17,4.74
372,TMUS,193.63,-4.73,0.54,0.1438,-0.3698,20.1752,-101.83,-0.15,194.2
373,PAYO,5.16,-0.04,2.57,0.1519,-0.0156,0.8468,-101.85,-0.11,5.06
374,ACB,3.41,-0.31,0.37,0.0885,-0.0101,0.5327,-101.9,-0.15,3.43
375,BNGO,1.29,-0.02,1.11,0.0252,-0.0006,0.0288,-101.95,-0.05,1.33
376,CTAS,166.97,-11.72,0.8,0.0243,-0.2263,11.3713,-101.99,-0.07,170.04
377,NLY,22.61,-0.04,0.84,0.8803,-0.0296,1.4658,-102.02,-0.34,22.38
378,BAH,77.04,-3.67,1.01,0.0452,-0.1682,8.3076,-102.02,-0.09,76.85
379,KSS,14.5,-0.11,0.87,0.4563,-0.0438,2.093,-102.09,-0.11,14.35
380,GIS,34.68,-0.6,1.04,0.0373,-0.0232,1.1099,-102.09,0.0,35.71
381,HIMS,28.27,-2.74,0.66,0.2453,-0.4453,20.1515,-102.21,-0.26,25.65
382,CDW,104.79,-32.06,1.34,0.0033,-0.1435,6.2454,-102.3,-0.12,110.2
383,EXK,10.03,-0.06,1.33,0.5803,-0.0465,2.0138,-102.31,-0.34,10.15
384,FUBO,10.28,-3.01,1.0,0.0408,-0.1225,5.2562,-102.33,-0.08,10.79
385,HMY,17.79,-0.2,0.73,0.5178,-0.0769,3.2385,-102.37,-0.27,17.59
386,ACI,16.02,-0.44,0.58,0.0762,-0.0194,0.8066,-102.41,-0.11,16.18
387,CPB,20.84,-0.42,0.87,0.0508,-0.0186,0.7585,-102.45,0.11,21.25
388,VNET,8.9,-0.3,0.81,0.3702,-0.0903,3.5905,-102.52,-0.34,8.96
389,NOW,91.18,-8.54,0.86,0.0628,-0.4636,18.1186,-102.56,-0.19,93.59
390,PSA,311.04,-1.13,0.55,0.9633,-0.6025,22.665,-102.66,-0.2,309.33
391,TCOM,52.68,-2.33,0.81,0.1377,-0.2597,9.6515,-102.69,-0.16,53.37
392,DPZ,323.48,-45.98,0.89,0.013,-0.5307,19.4261,-102.73,-0.14,332.53
393,BIRD,5.6,-5.42,0.03,0.1557,-0.0223,0.8091,-102.75,-0.06,6.22
394,Z,41.43,-5.87,1.27,0.0434,-0.3224,11.5927,-102.78,-0.23,43.68
395,UPST,28.96,-5.9,0.91,0.0689,-0.3696,13.259,-102.79,-0.18,29.0
396,MKC,48.32,-4.53,0.75,0.0337,-0.1145,4.0071,-102.86,-0.12,47.9
397,LUV,41.31,-0.51,0.65,0.5698,-0.1885,6.5645,-102.87,-0.3,41.39
398,MSFT,415.12,-2.95,0.92,0.3473,-0.9427,32.7697,-102.88,-0.23,420.77
399,SBSW,13.32,-0.16,0.86,0.5842,-0.0804,2.6266,-103.06,-0.39,13.19
400,ACN,180.42,-14.64,1.09,0.0361,-0.5772,17.3036,-103.34,-0.14,180.19
401,ABBV,201.55,-2.16,0.49,0.5382,-0.5661,16.9504,-103.34,-0.2,202.71
402,KD,12.26,-2.38,1.16,0.0633,-0.1749,5.1682,-103.38,-0.17,12.64
403,WB,8.49,-0.29,0.55,0.3643,-0.0586,1.7193,-103.41,-0.3,8.46
404,BX,123.77,-4.04,0.52,0.2743,-0.5754,16.2535,-103.54,-0.22,122.33
405,COIN,201.16,-10.47,1.27,0.2024,-2.6996,75.694,-103.57,-0.26,192.96
406,ALC,62.56,-17.35,2.14,0.0044,-0.1648,4.5924,-103.59,-0.07,63.88
407,SHY,82.3,-0.06,0.49,0.958,-0.0268,0.7473,-103.59,-0.64,82.23
408,XPEV,15.62,-2.18,0.68,0.1132,-0.1688,4.6897,-103.6,-0.32,15.55
409,SPOT,417.83,-118.93,0.76,0.0338,-3.0333,83.9454,-103.61,-0.2,427.43
410,NKE,44.14,-2.34,0.86,0.0541,-0.109,3.0202,-103.61,-0.11,44.41
411,TLRY,5.56,-1.59,0.54,0.1046,-0.0905,2.4915,-103.63,-0.18,5.66
412,PGR,194.0,-9.78,1.02,0.0704,-0.7014,19.044,-103.68,-0.18,195.75
413,CF,115.02,-0.92,0.92,0.6462,-0.545,14.3684,-103.79,-0.32,118.68
414,CTSH,51.68,-8.58,0.77,0.0386,-0.2549,6.6132,-103.85,-0.22,51.94
415,BC,81.71,-0.72,0.51,0.8377,-0.3074,7.8054,-103.94,-0.28,80.77
416,ONON,35.24,-2.01,1.23,0.1173,-0.2902,7.344,-103.95,-0.16,35.65
417,HUBS,197.34,-32.54,3.8,0.024,-2.9681,74.9825,-103.96,-0.24,243.72
418,KMI,31.41,-0.24,0.72,0.7428,-0.1264,3.1266,-104.04,-0.41,31.52
419,CHWY,22.97,-5.89,1.82,0.0189,-0.2024,4.9952,-104.05,-0.15,23.67
420,LEN,88.38,-5.24,0.5,0.097,-0.256,6.3043,-104.06,0.03,87.74
421,ZG,41.94,-5.5,1.67,0.0548,-0.5021,12.1289,-104.14,-0.26,44.04
422,MT,62.04,-0.37,1.13,0.8759,-0.3648,8.7394,-104.17,-0.47,61.14
423,LI,18.0,-0.71,1.04,0.1315,-0.0975,2.3344,-104.18,-0.23,17.6
424,GS,936.48,-5.26,0.85,0.9216,-4.1123,96.7049,-104.25,-0.43,925.87
425,ARCC,19.01,-0.11,0.78,0.4613,-0.0398,0.8966,-104.43,-0.18,18.96
426,RMD,206.76,-19.38,0.58,0.0914,-1.0246,22.9154,-104.47,-0.23,206.89
427,ISRG,450.06,-15.54,1.03,0.1312,-2.101,46.9707,-104.47,-0.14,453.49
428,DHR,171.16,-24.34,0.89,0.0154,-0.3342,7.4336,-104.5,0.1,175.66
429,SONY,20.15,-1.29,2.02,0.0486,-0.1266,2.8108,-104.5,-0.29,19.89
430,SAVA,1.3,-0.45,0.91,0.0392,-0.016,0.3558,-104.51,-0.0,1.36
431,INFY,12.83,-1.38,0.74,0.0376,-0.0381,0.8427,-104.52,-0.04,12.57
432,IQ,1.2,-0.2,0.4,0.0734,-0.0059,0.124,-104.73,-0.19,1.21
433,KWEB,29.55,-0.74,1.25,0.2269,-0.2098,4.315,-104.86,-0.26,29.52
434,GME,24.28,-0.64,0.54,0.2739,-0.0945,1.8778,-105.03,-0.21,23.97
435,CGC,1.11,-0.09,0.3,0.1596,-0.0043,0.0855,-105.08,-0.1,1.13
436,LUMN,8.48,-0.19,0.81,0.6119,-0.094,1.8358,-105.12,-0.28,8.46
437,GRAB,3.72,-0.49,0.89,0.1104,-0.0481,0.9272,-105.18,-0.31,3.79
438,SIRI,27.1,-0.12,0.44,0.8482,-0.0443,0.8453,-105.24,-0.23,26.75
439,AON,312.79,-18.29,0.71,0.0846,-1.0992,20.1662,-105.45,-0.21,313.59
440,RXRX,3.32,-0.37,1.12,0.0544,-0.0225,0.4086,-105.51,-0.23,3.27
441,VCSH,79.13,-0.08,0.68,0.9532,-0.051,0.8721,-105.85,-0.61,79.03
442,DOV,219.83,-2.07,0.52,0.8202,-0.8831,15.0063,-105.88,-0.32,220.9
443,FXI,37.24,-0.42,0.82,0.6699,-0.2301,3.8684,-105.95,-0.27,37.19
444,NTES,115.91,-2.3,0.91,0.4155,-0.8686,14.3351,-106.06,-0.31,117.11
445,CVNA,77.94,-2.46,0.49,0.713,-0.86,13.901,-106.19,-0.27,80.0
446,ADMA,8.17,-2.71,1.29,0.052,-0.1812,2.9029,-106.24,-0.2,8.47
447,PBR,20.33,-0.31,0.65,0.8412,-0.1696,2.632,-106.45,-0.53,20.37
448,JD,30.13,-1.24,0.91,0.3249,-0.3682,5.6907,-106.47,-0.23,30.21
449,AGCO,117.34,-2.93,0.41,0.6289,-0.7572,11.6831,-106.48,-0.31,117.71
450,RDDT,155.8,-10.48,1.09,0.3743,-4.2854,65.8881,-106.5,-0.29,163.95
451,AIG,76.36,-2.2,0.41,0.3855,-0.3507,5.3581,-106.54,-0.27,76.43
452,UBER,75.45,-2.04,0.85,0.3583,-0.6213,9.2129,-106.74,-0.21,76.73
453,JCI,139.52,-1.46,0.79,0.9022,-1.0344,15.2132,-106.8,-0.53,139.25
454,PLUG,3.12,-0.1,0.63,0.6247,-0.0395,0.5685,-106.94,-0.25,3.13
455,ALL,213.15,-2.0,0.66,0.817,-1.0723,15.3745,-106.97,-0.32,213.67
456,GE,297.15,-6.45,0.43,0.7317,-2.0241,28.943,-106.99,-0.32,302.63
457,GPC,104.72,-7.87,0.43,0.1597,-0.5345,7.5633,-107.07,-0.26,105.25
458,LEVI,22.67,-0.3,0.71,0.8669,-0.1858,2.6194,-107.09,-0.34,22.75
459,SPHD,49.59,-0.28,0.72,0.7446,-0.1495,2.0974,-107.13,-0.26,49.81
460,RCL,275.24,-7.03,0.77,0.5664,-3.0464,41.9538,-107.26,-0.32,280.87
461,AS,36.03,-0.68,0.87,0.7016,-0.4147,5.6967,-107.28,-0.22,36.49
462,BAX,17.99,-0.85,0.95,0.1051,-0.0852,1.1607,-107.34,-0.17,17.49
463,HD,317.45,-33.54,0.97,0.0636,-2.0751,27.9269,-107.43,-0.29,322.64
464,GM,78.8,-1.74,0.45,0.8137,-0.6354,8.4107,-107.55,-0.47,78.41
465,VNQ,96.62,-0.41,0.8,0.9679,-0.3175,3.9564,-108.03,-0.25,96.39
466,CVX,181.62,-1.63,1.18,0.6255,-1.1996,14.8105,-108.1,-0.56,182.5
467,NYT,79.41,-0.93,0.66,0.8203,-0.5007,6.1634,-108.12,-0.44,80.18
468,GT,6.51,-0.71,0.99,0.062,-0.044,0.5414,-108.13,-0.27,6.86
469,VNQI,47.72,-0.17,1.31,0.7902,-0.1763,2.1384,-108.25,-0.35,47.54
470,AFL,113.1,-1.57,0.44,0.7627,-0.5273,6.3752,-108.27,-0.28,113.6
471,AZO,3496.19,-86.31,0.94,0.2425,-19.6316,233.914,-108.39,-0.34,3554.88
472,ALNY,295.05,-15.89,0.8,0.3079,-3.9173,46.4163,-108.44,-0.27,295.91
473,HSY,185.94,-5.51,0.63,0.4886,-1.6961,20.0166,-108.47,-0.34,187.06
474,NFLX,87.49,-7.34,0.73,0.2111,-1.1349,13.3727,-108.49,-0.34,88.25
475,FMC,13.4,-3.95,0.84,0.0324,-0.1075,1.2455,-108.63,-0.14,13.68
476,TASK,6.45,-0.78,1.06,0.0892,-0.074,0.8448,-108.76,-0.13,6.37
477,AOS,58.6,-6.63,1.02,0.0529,-0.3587,4.0879,-108.77,-0.18,60.23
478,CHD,93.44,-3.11,0.47,0.37,-0.5392,6.047,-108.92,-0.37,93.88
479,M,19.48,-0.46,0.73,0.694,-0.2343,2.6235,-108.93,-0.37,19.23
480,ZETA,17.14,-1.01,0.76,0.4054,-0.312,3.4693,-108.99,-0.23,17.28
481,D,61.89,-0.33,1.22,0.7625,-0.3073,3.3374,-109.21,-0.4,61.61
482,IBM,229.76,-23.95,0.63,0.1799,-2.7241,29.0328,-109.38,-0.36,231.31
483,CELH,32.29,-1.49,1.55,0.2452,-0.5678,6.0177,-109.44,-0.09,34.26
484,MCO,451.32,-8.59,0.7,0.4447,-2.6848,28.3694,-109.46,-0.18,457.1
485,ARE,46.26,-2.72,0.86,0.1185,-0.2757,2.8659,-109.62,-0.16,45.58
486,PLD,144.09,-0.94,0.9,0.9786,-0.8314,8.6316,-109.63,-0.46,142.29
487,LQD,109.2,-0.4,0.6,0.8802,-0.2126,2.189,-109.71,-0.4,108.74
488,AMT,176.53,-5.13,1.05,0.2034,-1.0976,11.1792,-109.82,-0.17,179.77
489,CMG,32.49,-3.34,0.75,0.0919,-0.2311,2.3326,-109.91,-0.2,33.27
490,YUMC,46.9,-1.79,0.83,0.3626,-0.5358,5.3992,-109.92,-0.34,48.11
491,FOX,56.6,-1.39,0.99,0.553,-0.7608,7.6685,-109.92,-0.53,56.5
492,AMPL,6.39,-0.69,2.07,0.0939,-0.1341,1.3037,-110.28,-0.29,5.91
493,OMC,77.06,-1.44,0.61,0.5518,-0.4869,4.7055,-110.35,-0.23,76.92
494,OPEN,5.01,-0.34,1.37,0.4345,-0.202,1.9486,-110.37,-0.35,5.32
495,DECK,100.42,-10.64,0.91,0.1483,-1.4346,13.7427,-110.44,-0.18,102.72
496,BCS,23.71,-0.35,0.91,0.7633,-0.2443,2.3207,-110.53,-0.58,23.29
497,MBB,94.91,-0.21,0.97,0.8902,-0.1842,1.745,-110.56,-0.48,94.58
498,PLTR,137.8,-8.09,0.88,0.5069,-3.6093,34.1198,-110.58,-0.51,137.05
499,PRU,100.81,-1.79,0.71,0.4638,-0.5913,5.5774,-110.6,-0.23,99.44
500,SCCO,185.29,-5.47,0.7,0.7486,-2.8667,26.8889,-110.66,-0.49,179.54
501,IEF,94.96,-0.57,0.53,0.7735,-0.2314,2.1526,-110.75,-0.39,94.71
502,CLX,92.16,-8.74,0.73,0.1067,-0.6853,6.3002,-110.88,-0.25,92.11
503,JMIA,7.77,-0.25,1.46,0.4703,-0.1719,1.5668,-110.97,-0.36,8.71
504,MCD,275.75,-31.19,1.24,0.045,-1.7422,15.8573,-110.99,-0.36,283.7
505,XEL,79.39,-0.93,0.9,0.784,-0.6536,5.9264,-111.03,-0.48,80.43
506,SNY,43.31,-2.16,0.94,0.1679,-0.341,3.0619,-111.14,-0.27,43.18
507,VCIT,82.89,-0.28,0.67,0.8943,-0.1694,1.5152,-111.18,-0.47,82.6
508,AME,232.4,-4.42,0.53,0.8912,-2.1014,18.6918,-111.24,-0.58,234.73
509,EXR,143.3,-3.65,0.37,0.7254,-0.9757,8.5302,-111.44,-0.26,143.27
510,LW,42.01,-3.99,0.51,0.154,-0.314,2.7409,-111.46,-0.38,43.03
511,DHI,147.63,-5.25,0.47,0.5238,-1.2839,11.0319,-111.64,-0.19,145.97
512,SFIX,3.57,-0.5,0.62,0.2904,-0.0896,0.7697,-111.65,-0.19,3.6
513,ASTS,75.05,-5.95,1.19,0.5121,-3.628,30.4149,-111.93,-0.55,65.35
514,DLB,58.15,-6.62,0.69,0.076,-0.3453,2.8936,-111.93,-0.3,57.47
515,GLD,433.77,-8.32,0.8,0.7054,-4.7083,38.822,-112.13,-0.55,431.68
516,AMCR,39.93,-1.72,0.72,0.2298,-0.2842,2.3389,-112.15,-0.2,39.92
517,AAP,56.15,-1.12,1.01,0.6868,-0.7793,6.3969,-112.18,-0.38,57.23
518,MCHI,58.32,-0.98,1.25,0.639,-0.785,6.3558,-112.35,-0.36,58.33
519,APP,468.55,-22.41,1.72,0.4917,-19.0004,153.3319,-112.39,-0.42,498.87
520,AWK,125.05,-8.2,0.44,0.2334,-0.8352,6.7327,-112.41,-0.28,126.2
521,LIN,493.16,-4.99,0.82,0.7914,-3.2542,26.0643,-112.49,-0.47,493.85
522,XLB,51.59,-0.64,0.71,0.872,-0.3961,3.1698,-112.5,-0.48,51.4
523,GPN,69.19,-3.64,0.88,0.1348,-0.4296,3.4103,-112.6,-0.29,70.13
524,EA,200.44,-2.92,0.78,0.9528,-2.1745,17.1578,-112.67,-0.37,200.85
525,KEY,21.6,-0.59,0.53,0.8611,-0.2697,2.1114,-112.77,-0.52,21.69
526,VRTX,429.82,-9.36,0.86,0.4283,-3.4636,27.0299,-112.81,-0.26,425.0
527,JBHT,245.4,-6.2,0.54,0.92,-3.0581,23.4298,-113.05,-0.59,242.19
528,ADPT,13.81,-0.77,0.88,0.5209,-0.3524,2.6852,-113.12,-0.52,14.69
529,OXY,53.03,-1.45,0.83,0.5684,-0.6869,5.2297,-113.13,-0.53,53.94
530,SYY,72.44,-3.82,0.59,0.2776,-0.6213,4.7137,-113.18,-0.33,72.88
531,MGM,38.79,-0.61,0.61,0.8421,-0.3127,2.3632,-113.23,-0.46,38.11
532,MRNA,54.35,-0.24,3.03,0.8605,-0.6256,4.6965,-113.32,-0.32,48.54
533,MMM,143.29,-8.11,0.52,0.4137,-1.738,13.0442,-113.32,-0.38,143.75
534,BBWI,19.73,-1.17,0.86,0.2121,-0.2135,1.5586,-113.7,-0.39,19.3
535,KR,65.64,-2.25,0.76,0.4495,-0.7647,5.5143,-113.87,-0.53,66.41
536,MQ,4.17,-0.29,0.99,0.195,-0.0562,0.3992,-114.08,-0.3,4.19
537,DB,32.07,-1.32,0.67,0.6263,-0.5542,3.9211,-114.13,-0.53,31.48
538,DE,574.84,-19.68,0.73,0.6433,-9.2037,64.887,-114.18,-0.51,580.54
539,SPGI,420.12,-22.62,0.89,0.2022,-4.0701,28.6872,-114.19,-0.3,428.68
540,COP,113.87,-2.58,0.74,0.6248,-1.1867,8.348,-114.22,-0.61,114.88
541,UAA,6.43,-0.18,0.97,0.5011,-0.0871,0.6063,-114.36,-0.36,6.39
542,RACE,339.69,-33.15,1.09,0.1505,-5.4347,37.7521,-114.4,-0.33,337.46
543,MA,495.48,-21.17,0.9,0.2436,-4.6189,32.0166,-114.43,-0.37,500.94
544,PYPL,45.37,-6.09,0.91,0.1349,-0.7439,5.0933,-114.61,-0.32,46.22
545,SAN,12.28,-0.25,0.78,0.9045,-0.1727,1.1547,-114.95,-0.8,12.18
546,TRIP,10.45,-1.03,1.26,0.1291,-0.1669,1.1126,-115.01,-0.38,11.23
547,VIPS,14.46,-0.86,0.8,0.3353,-0.2314,1.5415,-115.01,-0.48,14.54
548,EC,12.64,-0.37,1.01,0.7154,-0.2698,1.7947,-115.03,-0.67,13.0
549,XYL,113.73,-6.73,0.7,0.2678,-1.2602,8.339,-115.11,-0.28,115.64
550,BYND,0.83,-0.33,0.71,0.0463,-0.0107,0.0706,-115.14,-0.12,0.89
551,HOOD,77.03,-14.25,0.51,0.3814,-2.7818,18.1995,-115.29,-0.49,76.28
552,AFRM,64.01,-3.05,1.69,0.4792,-2.4732,16.0898,-115.37,-0.5,67.36
553,A,115.62,-5.34,0.99,0.3122,-1.6553,10.6683,-115.52,-0.39,118.65
554,BRZE,21.72,-2.01,1.19,0.1953,-0.4682,3.0073,-115.57,-0.48,22.6
555,T,25.16,-1.02,0.81,0.5073,-0.418,2.595,-116.11,-0.59,25.26
556,BBY,59.4,-7.54,0.58,0.2183,-0.9481,5.8773,-116.13,-0.28,58.54
557,TCPC,4.19,-0.15,1.36,0.1782,-0.0365,0.2256,-116.17,-0.37,4.36
558,CRSP,54.83,-2.86,0.89,0.5118,-1.2983,7.9603,-116.31,-0.46,52.42
559,BND,73.55,-0.22,1.06,0.8498,-0.1939,1.1844,-116.37,-0.53,73.36
560,NCLH,17.08,-3.18,0.75,0.1903,-0.4544,2.7221,-116.69,-0.43,17.22
561,APTV,57.94,-2.89,1.37,0.2575,-1.0231,6.1212,-116.71,-0.37,57.11
562,XOM,144.57,-3.11,1.12,0.611,-2.1289,12.7341,-116.72,-0.68,146.58
563,ZBH,82.33,-13.15,0.65,0.0748,-0.6362,3.7982,-116.75,-0.54,83.37
564,HSBC,90.16,-1.43,0.99,0.9431,-1.3363,7.7897,-117.15,-0.75,88.97
565,MTB,212.14,-7.54,0.55,0.723,-2.9791,17.2935,-117.23,-0.5,213.02
566,COUR,5.78,-0.77,1.12,0.0911,-0.0785,0.4442,-117.68,-0.13,6.27
567,ALLE,134.37,-10.75,0.7,0.2798,-2.1124,11.7994,-117.9,-0.53,136.81
568,DXCM,60.61,-4.01,0.79,0.1661,-0.5252,2.9173,-118.0,-0.41,60.91
569,CB,319.64,-10.35,0.56,0.7022,-4.0557,22.5281,-118.0,-0.6,321.28
570,LOW,229.2,-22.88,0.54,0.3084,-3.8334,21.1408,-118.13,-0.52,230.88
571,RYAAY,58.07,-2.42,0.74,0.5623,-1.0028,5.5055,-118.21,-0.51,59.32
572,DASH,163.93,-25.87,1.26,0.1451,-4.7377,25.9466,-118.26,-0.43,171.35
573,ROST,225.81,-2.44,1.14,0.9514,-2.6559,14.5485,-118.26,-0.83,224.48
574,PEP,154.62,-2.37,0.77,0.6745,-1.225,6.6989,-118.29,-0.43,156.29
575,ANF,77.99,-19.29,0.62,0.1859,-2.2417,12.2274,-118.33,-0.29,78.51
576,JNJ,221.32,-9.37,0.5,0.7335,-3.4422,18.4425,-118.66,-0.83,222.51
577,ASND,238.66,-6.72,0.8,0.909,-4.8587,25.9952,-118.69,-0.68,246.14
578,ARKO,6.87,-0.11,1.48,0.8254,-0.1346,0.7119,-118.91,-0.65,6.71
579,ADT,6.87,-0.41,0.95,0.2584,-0.1002,0.5169,-119.39,-0.41,6.9
