rebalance_id,date_start,date_end,ticker,sniper_score,weight,entry_price,exit_price,return_per_ticker
1,2026-01-02,2026-01-29,MU,74.26,0.222889,315.42,435.79,38.1618
1,2026-01-02,2026-01-29,ASML,69.91,0.209833,1162.25,1455.16,25.202
1,2026-01-02,2026-01-29,GE,69.33,0.208092,320.28,298.86,-6.6879
1,2026-01-02,2026-01-29,QYLD,61.02,0.18315,17.33,17.85,3.0006
1,2026-01-02,2026-01-29,BCS,58.65,0.176036,25.74,26.88,4.4289
2,2026-01-30,2026-02-26,MU,77.2,0.215222,414.88,415.56,0.1639
2,2026-01-30,2026-02-26,WDC,73.7,0.205464,250.11,282.25,12.8503
2,2026-01-30,2026-02-26,HSBC,71.26,0.198662,85.6,94.5,10.3972
2,2026-01-30,2026-02-26,CHRW,69.45,0.193616,194.29,184.08,-5.255
2,2026-01-30,2026-02-26,LMT,67.09,0.187037,630.9,641.63,1.7007
3,2026-02-27,2026-03-26,GLW,78.92,0.211231,150.38,135.32,-10.0146
3,2026-02-27,2026-03-26,FIGS,75.67,0.202532,15.45,15.43,-0.1294
3,2026-02-27,2026-03-26,AMAT,75.6,0.202345,372.3,338.55,-9.0653
3,2026-02-27,2026-03-26,EWY,74.05,0.198196,151.37,119.99,-20.7307
3,2026-02-27,2026-03-26,AXTI,69.38,0.185697,37.9,58.51,54.3799
4,2026-03-27,2026-03-30,E,79.3,0.208783,55.22,55.77,0.996
4,2026-03-27,2026-03-30,CVE,78.0,0.20536,26.82,26.57,-0.9321
4,2026-03-27,2026-03-30,MPC,74.96,0.197357,251.91,245.16,-2.6795
4,2026-03-27,2026-03-30,SLB,73.95,0.194697,53.5,51.53,-3.6822
4,2026-03-27,2026-03-30,OXY,73.61,0.193802,65.32,66.24,1.4084
