date,equity,daily_return,rebalance_id,spy_equity
2026-01-02,100.640063,0.006401,1,100.0
2026-01-05,102.072998,0.014238,1,100.666011
2026-01-06,104.771447,0.026436,1,101.264695
2026-01-07,103.70894,-0.010141,1,100.938278
2026-01-08,101.74166,-0.018969,1,100.928031
2026-01-09,104.939377,0.03143,1,101.595507
2026-01-12,105.079701,0.001337,1,101.755052
2026-01-13,104.623735,-0.004339,1,101.551596
2026-01-14,103.702403,-0.008806,1,101.052447
2026-01-15,105.235398,0.014783,1,101.327636
2026-01-16,108.078704,0.027019,1,101.242735
2026-01-20,106.02856,-0.018969,1,99.181761
2026-01-21,109.069982,0.028685,1,100.326426
2026-01-22,109.044245,-0.000236,1,100.850447
2026-01-23,109.110218,0.000605,1,100.887041
2026-01-26,109.045585,-0.000592,1,101.399359
2026-01-27,112.0375,0.027437,1,101.803359
2026-01-28,112.504961,0.004172,1,101.793112
2026-01-29,113.731564,0.010903,1,101.591111
2026-01-30,114.565637,0.007334,2,101.591111
2026-02-02,118.668535,0.035813,2,102.096153
2026-02-03,119.167369,0.004204,2,101.232893
2026-02-04,114.002687,-0.04334,2,100.742529
2026-02-05,112.745861,-0.011025,2,99.484329
2026-02-06,117.015235,0.037867,2,101.392915
2026-02-09,117.515321,0.004274,2,101.881809
2026-02-10,113.683165,-0.03261,2,101.613137
2026-02-11,116.836776,0.02774,2,101.58965
2026-02-12,114.383269,-0.020999,2,100.020205
2026-02-13,115.022231,0.005586,2,100.090673
2026-02-17,114.986632,-0.00031,2,100.252165
2026-02-18,118.771539,0.032916,2,100.757207
2026-02-19,117.60282,-0.00984,2,100.491473
2026-02-20,118.940165,0.011372,2,101.218206
2026-02-23,116.462977,-0.020827,2,100.184636
2026-02-24,115.640213,-0.007065,2,100.912829
2026-02-25,119.126846,0.030151,2,101.76436
2026-02-26,118.328289,-0.006703,2,101.199119
2026-02-27,118.328289,-0.0,3,101.199119
2026-03-02,126.442483,0.068574,3,101.256655
2026-03-03,118.128243,-0.065755,3,100.364144
2026-03-04,116.909403,-0.010318,3,101.072252
2026-03-05,112.980079,-0.03361,3,100.508714
2026-03-06,105.247988,-0.068438,3,99.191337
2026-03-09,110.343062,0.04841,3,100.060248
2026-03-10,115.729981,0.04882,3,99.899444
2026-03-11,116.871169,0.009861,3,99.774053
2026-03-12,112.753235,-0.035235,3,98.258992
2026-03-13,114.022103,0.011253,3,97.702828
2026-03-16,115.99986,0.017345,3,98.697139
2026-03-17,113.138746,-0.024665,3,98.956772
2026-03-18,115.097366,0.017312,3,97.575961
2026-03-19,121.715855,0.057503,3,97.335498
2026-03-20,116.645219,-0.04166,3,95.678821
2026-03-23,126.3481,0.083183,3,96.68345
2026-03-24,130.937077,0.03632,3,96.358898
2026-03-25,131.486128,0.004193,3,96.895883
2026-03-26,120.710851,-0.08195,3,95.165445
2026-03-27,120.710852,0.0,4,95.165445
2026-03-30,119.556423,-0.009564,4,94.847263
2026-03-31,119.30455,-0.002107,4,97.604276
2026-04-01,115.699933,-0.030214,4,98.339672
2026-04-02,117.740566,0.017637,4,98.428224
2026-04-03,117.740566,-0.0,4,98.516856
2026-04-06,118.383668,0.005462,4,98.982525
2026-04-07,119.266216,0.007455,4,99.026085
2026-04-08,115.391279,-0.03249,4,101.548235
2026-04-09,114.310148,-0.009369,4,102.134076
2026-04-10,114.288512,-0.000189,4,102.066486
2026-04-13,114.78824,0.004373,4,103.06392
2026-04-14,112.682611,-0.018344,4,104.319742
2026-04-15,112.383662,-0.002653,4,105.142929
2026-04-16,113.743475,0.0121,4,105.401298
2026-04-17,109.107263,-0.04076,4,106.675145
2026-04-20,109.699604,0.005429,4,106.46183
2026-04-21,112.08595,0.021753,4,105.76483
2026-04-22,114.016616,0.017225,4,106.835878
2026-04-23,115.057119,0.009126,4,106.421277
2026-04-24,115.852524,0.006913,5,107.245967
2026-04-27,111.195253,-0.0402,5,107.430731
2026-04-28,107.825172,-0.030308,5,106.907979
2026-04-29,109.08679,0.011701,5,106.891457
2026-04-30,114.795814,0.052335,5,107.954987
2026-05-01,120.285736,0.047823,5,108.253927
2026-05-04,125.056466,0.039662,5,107.857352
2026-05-05,130.338299,0.042236,5,108.722604
2026-05-06,134.86918,0.034762,5,110.233787
2026-05-07,131.956694,-0.021595,5,109.895799
2026-05-08,136.566072,0.034931,5,110.803107
2026-05-11,137.702983,0.008325,5,111.055471
2026-05-12,136.803432,-0.006533,5,110.887229
