Date,Status,N_Candidates,Tickers,Notes
2026-02-13,SUCCESS,103,"AOS,AAP,AES,AGCO,AKAM,ALGN,ALLE,LNT,AMCR,AEP,AMWL,BUD,AMAT,APTV,T,ATOM,BDX,BIIB,SAM,CNI,CNQ,PRTS,CAT,CVE,CL,COP,ED,GLW,CRSR,CROX,DVA,DE,DVN,DLR,DOCN,D,DOV,DOW,DUK,DD,ENB,EQIX,FSLY,FDX,FE,F,GSK,HAS,HCA,HSY,HON,ITW,IRM,SJM,JNJ,JCI,KB,KR,LIN,MPC,MAR,MCK,MRK,MSI,NEE,NVS,NRG,PEP,PSX,PPG,PLD,PSEC,PHM,DGX,O,RIVN,SWK,STM,SYY,TPR,TGT,TER,TTE,TM,RIG,UL,UNP,UPS,VZ,VRT,VTRS,YUMC,XLP,XLE,SPHD,SPLV,HDV,EWY,SCHD,XLU,VNQI,VYM,VTV",
2026-02-16,SUCCESS,103,"AOS,AAP,AES,AGCO,AKAM,ALGN,ALLE,LNT,AMCR,AEP,AMWL,BUD,AMAT,APTV,T,ATOM,BDX,BIIB,SAM,CNI,CNQ,PRTS,CAT,CVE,CL,COP,ED,GLW,CRSR,CROX,DVA,DE,DVN,DLR,DOCN,D,DOV,DOW,DUK,DD,ENB,EQIX,FSLY,FDX,FE,F,GSK,HAS,HCA,HSY,HON,ITW,IRM,SJM,JNJ,JCI,KB,KR,LIN,MPC,MAR,MCK,MRK,MSI,NEE,NVS,NRG,PEP,PSX,PPG,PLD,PSEC,PHM,DGX,O,RIVN,SWK,STM,SYY,TPR,TGT,TER,TTE,TM,RIG,UL,UNP,UPS,VZ,VRT,VTRS,YUMC,XLP,XLE,SPHD,SPLV,HDV,EWY,SCHD,XLU,VNQI,VYM,VTV",
2026-02-17,SUCCESS,84,"AOS,AGCO,ALGN,ALL,AEP,ADI,BUD,MT,ARKO,T,ATOM,BBWI,BDX,BIIB,CNI,CNQ,PRTS,CAT,CVE,CB,CL,COP,ED,GLW,CROX,DVA,DE,DVN,DLR,D,DOV,DD,ECL,ENB,EQIX,FSLY,FDX,FIVE,GSK,HSY,H,ITW,IRM,JNJ,JCI,KB,LIN,LTC,MPC,MAR,MRK,MSI,NCLH,NVS,PEP,PSX,PPG,PLD,PSA,PHM,DGX,O,SPG,LUV,STM,TGT,TM,RIG,TWST,ULTA,UL,UNP,UPS,VZ,VRT,VTRS,WMT,ZBH,ACP,XLP,SCHD,XLU,VYM,VTV",
2026-02-18,SUCCESS,85,"AGCO,ALGN,AMGN,ADI,BUD,AZN,ATO,ATOM,BDX,BIIB,SAM,CNI,CNQ,PRTS,CAT,CVE,CVX,CHD,CL,COP,CROX,CSX,DE,DVN,DEO,FANG,DLTR,D,DOV,DD,ECL,E,EQIX,EQNR,FSLY,FDX,FIVE,GRMN,GPN,GSK,HSY,ITW,IRM,SJM,JBLU,JCI,PHG,LIN,LTC,M,MPC,MAR,MRK,MGM,NOK,NVS,OXY,PEP,PSX,PPG,PLD,PSEC,PHM,O,SPG,LUV,SWK,TGT,TER,TM,RIG,TWST,ULTA,UNP,UAL,UPS,VZ,VRT,VTRS,WMT,ZBH,XLE,SCHD,VNQ,VTV",
2026-02-19,SUCCESS,61,"AGCO,AKAM,ALGN,MO,AZN,BDX,SAM,BMY,CNI,CNQ,PRTS,CAT,CVE,CF,CVX,CL,COP,ED,GLW,CSX,DE,DVN,FANG,D,DOV,DD,EQIX,EQNR,FSLY,FDX,GRMN,GSK,HLF,ITW,IRM,JCI,LIN,MPC,MAR,MRK,MRNA,NOK,OXY,OMC,PEP,PPG,PWR,O,RELY,SWK,SU,TTE,RIG,TWST,UNP,UPS,VZ,VTRS,ZBH,XLE,SCHD",
2026-02-20,SUCCESS,100,"AAP,WMS,AES,AGCO,AEM,ALGN,LNT,AMCR,AMGN,ADI,AU,AMAT,MT,ASX,AXTI,BDX,BHP,BC,CNI,CNQ,CVE,COP,GLW,CROX,CSX,DVA,DE,DVN,DEO,FANG,DLTR,D,DOV,DOW,DD,ECL,EQIX,EQNR,EXR,FSLY,FDX,FIVE,FNKO,GRMN,GE,GPN,GSK,HAS,HLF,HSY,H,ITW,IRM,JBHT,SJM,JNJ,JCI,KB,KEYS,LEVI,LIN,LYV,LYB,M,MAR,MCK,MRK,MRNA,MSI,NKE,NOK,NVS,NRG,OXY,ODFL,OMC,PPG,PWR,O,RELY,SEDG,SWK,STM,TPR,TGT,TER,RIG,UAA,UNP,UPS,VRT,VTRS,VSCO,YUMC,ZBH,TLT,EWY,JPIN,VNQI,VTV",
2026-02-23,SUCCESS,70,"AEM,ALGN,LNT,AMCR,AEP,AMGN,ADI,AU,MT,ASX,AXTI,BDX,BHP,CNI,CNQ,ED,GLW,CSX,DE,FANG,D,DOV,DUK,ENTG,EQIX,EXR,FSLY,FDX,FIVE,GRMN,GSK,HCA,HLF,HSY,ITW,IRM,SJM,KB,KEYS,KGC,LIN,LYB,MRNA,MSI,NEE,NRG,OXY,PEP,PSX,PG,PLD,PSA,PWR,O,SEDG,TPR,TER,RIG,UL,VRT,VTRS,WPM,XEL,YUM,ZBH,PDBC,TLT,EWY,XLU,VNQI",
2026-02-24,SUCCESS,63,"AEM,ALGN,LNT,AMCR,AEP,AMGN,ADI,AU,ASX,AZN,AXTI,BDX,BMY,CNI,CNQ,CVE,ED,GLW,DEO,FANG,ECL,E,ENPH,ENTG,EOG,EQIX,FSLY,FE,FCEL,GRMN,GE,HLF,IRM,JCI,KB,KEYS,LIN,LYB,MRNA,MSI,NEE,NVS,NRG,OXY,OMC,PLBY,PWR,DGX,O,SEDG,STM,TSM,WULF,TTE,RIG,VRT,VTRS,XEL,ZBH,EWY,XLU,VNQ,BNDX",
2026-02-25,SUCCESS,53,"ACHC,AEM,ALB,ALC,ALGN,AEP,AU,AMAT,ASX,AXTI,BDX,BHP,CNI,CAVA,YOU,GLW,E,EQIX,FSLY,GRMN,GE,IRM,KB,KEYS,LIN,LTC,MAR,MCK,MRNA,MSI,NYT,NVS,NVAX,NRG,NVDA,OXY,OMC,PWR,SEDG,TSM,TPR,TER,WULF,VRT,XEL,ZBH,SOXL,NVDL,AOR,EWY,XLU,SMH,BNDX",
2026-02-26,SUCCESS,71,"TXG,ACHC,AEM,ABNB,ALC,LNT,AEP,AU,AMAT,AZN,AXTI,BDX,BHP,CZR,CNI,CNQ,CAVA,CELH,CVE,YOU,COP,GLW,CRSP,EXK,E,ENTG,EQIX,FSLY,FIGS,FIVE,FCEL,GRMN,IRM,SJM,KB,KEYS,DNUT,LIN,LTC,MRNA,MNST,MSI,NYT,NEM,NVS,NVAX,NRG,NVDA,OXY,OMC,PWR,ROST,SHEL,SEDG,STM,TSM,TER,WULF,VRT,WPM,XEL,ZBH,SOXL,BOTZ,EWY,SOXX,XLU,GDX,SMH,VEA,VXUS",
2026-02-27,SUCCESS,82,"TXG,ACHC,AES,AEM,ABNB,LNT,AEP,AFG,AWK,ADI,AU,AMAT,ATO,AXTI,BDX,BHP,XYZ,CZR,CNI,CNQ,PRTS,YOU,COP,ED,GLW,CSX,DELL,XRAY,DUK,ECL,ENB,EXK,E,EQIX,EQNR,EXR,FSLY,FIGS,FE,FIVE,GRMN,HCA,ILMN,IRM,SJM,KEYS,KMI,KGC,LIN,LYV,LTC,MRNA,MSI,NFLX,NYT,NEM,NEE,NVS,NVAX,NTR,OXY,OMC,PG,PLD,PWR,DGX,O,ROST,SHEL,TEF.MC,TTE,VRT,WM,WPM,WMB,XEL,ZBH,SPLV,TLT,EWY,XLU,VEA",
2026-03-02,SUCCESS,65,"TXG,ACHC,AEM,LNT,AU,ASND,ATO,AZO,AXTI,BHP,CNI,CNQ,PRTS,CVE,CF,YOU,COP,GLW,CVS,DELL,XRAY,FANG,DUK,ENB,E,EOG,EQNR,FSLY,FIGS,SJM,KEYS,KMI,LHX,LIN,LMT,LTC,LYB,MRNA,MSI,NYT,NOK,NOC,NTR,OXY,OMC,PBR,RTX,O,SHEL,SEDG,TTE,VLO,VRT,WM,WPM,ZBH,XLE,PDBC,SPLV,TLT,EWY,USO,XLU,GDX,BNDX",
2026-03-03,SUCCESS,43,"ACHC,AEM,AEP,ATO,AXTI,CNI,CNQ,PRTS,CF,YOU,COP,DELL,FANG,ENB,E,EOG,EQIX,EQNR,FSLY,FIGS,GRMN,KEYS,KMI,LIN,MRNA,MSI,NYT,NOK,NOC,OXY,PBR,SHEL,SU,TGT,VLO,VRT,XLE,UUP,PDBC,SPLV,EWY,USO,XLU",
2026-03-04,SUCCESS,31,"ACHC,AEP,ATO,AXTI,CZR,PRTS,YOU,DELL,EQIX,EQNR,FSLY,FIGS,GRMN,GD,KEYS,LIN,LYB,MPC,MRNA,NYT,NOK,NOC,OXY,ODFL,OMC,ROST,TJX,VLO,PDBC,MSTU,USO",
2026-03-05,SUCCESS,42,"ACHC,AEM,ABNB,AXTI,XYZ,CZR,CNQ,PRTS,CF,YOU,COP,DELL,FANG,DOW,EBAY,E,EOG,EQNR,EXPE,FIGS,GD,IAC,KEYS,LYB,MPC,MRNA,MCO,NYT,OXY,ODFL,OMC,PBR,PSX,PUBM,ROST,SHEL,VLO,WM,DBA,UUP,PDBC,USO",
2026-03-06,SUCCESS,29,"ACHC,CZR,CNQ,CF,YOU,COP,DELL,FANG,EC,E,EOG,EQNR,FIGS,LYB,MPC,MRVL,MRNA,NYT,NTR,OXY,OMC,PBR,IOT,SHEL,VLO,WM,DBA,PDBC,USO",
2026-03-09,SUCCESS,36,"ACHC,AXTI,CZR,CNQ,CF,YOU,COP,DELL,FANG,DOW,E,EOG,EQNR,FIGS,GD,KEYS,LHX,LYB,MPC,MRVL,MRNA,NVAX,NTR,OXY,OMC,PBR,PWR,ROST,SHEL,TTE,VLO,VRT,WM,DBA,PDBC,USO",
2026-03-10,SUCCESS,18,"AXTI,CNQ,CF,YOU,DELL,DOW,E,EQNR,FIGS,LYB,MRNA,NIO,OXY,PBR,SHEL,VRTX,PDBC,USO",
2026-03-11,SUCCESS,21,"AXTI,CZR,CNQ,CF,DOW,E,EQNR,FSLY,FIGS,LYB,MPC,NVAX,NTR,OXY,PBR,PSX,SHEL,VLO,DBA,PDBC,USO",
2026-03-12,SUCCESS,28,"ACHC,ADM,AXTI,BMBL,CZR,CNQ,CF,CVX,COP,DELL,DVN,DOW,EC,E,EQNR,KR,LYB,MPC,NTR,OXY,PBR,PSX,SHEL,TTE,VLO,DBA,PDBC,USO",
2026-03-13,SUCCESS,24,"AXTI,CZR,CNQ,CF,COP,DELL,DOW,E,EQNR,FSLY,KR,LYB,MPC,NOK,NTR,OXY,PBR,PSX,SHEL,VLO,DBA,UUP,PDBC,USO",
2026-03-16,SUCCESS,26,"AXTI,BMBL,CZR,CNQ,CF,COP,DELL,DVN,DOCN,DOW,E,EQNR,FIGS,LYB,MPC,NBIS,NOK,OXY,PBR,PSX,SHEL,VLO,UUP,PDBC,MSTU,USO",
2026-03-17,SUCCESS,26,"CZR,CNQ,CF,CVX,COP,DELL,DVN,FANG,DOCN,DOW,EC,E,EQNR,FSLY,LYB,MPC,NBIS,OXY,PSX,SHEL,SIRI,SU,TTE,VLO,PDBC,USO",
2026-03-18,SUCCESS,29,"AKAM,CNQ,CF,CVX,NET,COP,DVN,FANG,DOCN,DOW,EC,E,EOG,EQNR,FSLY,LYB,MPC,MU,OXY,PBR,PSX,SHEL,SEDG,TTE,VLO,DBA,UUP,PDBC,USO",
2026-03-19,SUCCESS,31,"AKAM,AXTI,CNQ,CVE,CF,CVX,NET,COP,DVN,FANG,DOCN,DOW,EC,E,EOG,EQNR,FSLY,FIVE,LYB,MPC,OXY,PBR,PSX,SHEL,SEDG,SU,TTE,VLO,DBA,PDBC,USO",
2026-03-20,SUCCESS,30,"AKAM,CNQ,CVE,CF,CVX,COP,DVN,FANG,DOCN,DOW,EC,E,EOG,EQNR,XOM,FSLY,HAL,KR,LYB,MPC,OXY,PSX,STX,SHEL,SEDG,SU,TTE,VLO,PDBC,USO",
2026-03-23,SUCCESS,23,"AKAM,AXTI,BNGO,PRTS,CVX,NET,COP,DELL,DVN,DOCN,DOW,EC,E,EQNR,FSLY,LYB,OXY,PBR,SHEL,SEDG,SU,TTE,USO",
