Date,Status,N_Candidates,Tickers,Notes
2026-01-16,SUCCESS,93,"TXG,WMS,AGNC,AKAM,ALGN,NLY,APLD,AMAT,ADM,ARR,ASX,ASML,ASTS,AZN,AXTI,BKR,BMO,TECH,BLK,BA,BC,CAT,CVX,CIFR,COP,DLTR,DOW,EC,EMR,EXK,ENTG,EOSE,EQNR,EXPD,EXR,XOM,FE,BEN,FCX,GD,GPC,HAL,HLF,HSY,HON,INTC,IREN,IRM,KGC,KLAC,PHG,LHX,LRCX,LMT,LOW,LTC,MCHP,MU,MRNA,NOC,NVO,NUE,PPG,PSA,PWR,DGX,RTX,O,RIOT,RKLB,ROST,SLB,SCCO,SU,SYY,TSM,TMDX,UMC,UPS,UEC,VALE,WMT,WDC,WPM,XYL,BLOK,XLP,SOXL,ICLN,EWY,SOXX,XLB,SCHD",
2026-01-19,SUCCESS,93,"TXG,WMS,AGNC,AKAM,ALGN,NLY,APLD,AMAT,ADM,ARR,ASX,ASML,ASTS,AZN,AXTI,BKR,BMO,TECH,BLK,BA,BC,CAT,CVX,CIFR,COP,DLTR,DOW,EC,EMR,EXK,ENTG,EOSE,EQNR,EXPD,EXR,XOM,FE,BEN,FCX,GD,GPC,HAL,HLF,HSY,HON,INTC,IREN,IRM,KGC,KLAC,PHG,LHX,LRCX,LMT,LOW,LTC,MCHP,MU,MRNA,NOC,NVO,NUE,PPG,PSA,PWR,DGX,RTX,O,RIOT,RKLB,ROST,SLB,SCCO,SU,SYY,TSM,TMDX,UMC,UPS,UEC,VALE,WMT,WDC,WPM,XYL,BLOK,XLP,SOXL,ICLN,EWY,SOXX,XLB,SCHD",
2026-01-20,SUCCESS,91,"TXG,AGNC,AEM,ALB,AU,APLD,AMAT,ADM,ASX,ASML,ASTS,AXTI,BKR,B,TECH,BA,SAM,BC,CAT,CELH,CVE,CVX,CL,EC,EXK,ENTG,EOSE,EXR,XOM,FCX,GD,GPC,GFI,HAL,HMY,HLF,HSY,HON,ILMN,INTC,JNJ,KGC,KLAC,LHX,LRCX,LMT,LOW,LTC,MCHP,MU,MRNA,MNST,NEM,NMR,NOC,NVAX,NVO,NUE,NTR,DGX,O,RIOT,SLB,SBSW,SCCO,SU,TSM,TGT,TMDX,TWST,ULTA,UMC,UPS,UEC,VALE,WPM,ACP,XLP,SOXL,XLE,PGX,ICLN,EWZ,EWY,IWM,SOXX,SLV,XLB,SCHD,GLD,GDX",
2026-01-21,SUCCESS,144,"TXG,AAP,AMD,AGCO,AGNC,AEM,AKAM,ALB,AME,AMGN,ADI,AU,APLD,AMAT,MT,ADM,ASX,ASML,ASTS,BIDU,BKR,B,BDX,BHP,TECH,BNTX,BA,SAM,BC,CNQ,CAT,CELH,CVE,CF,CRL,CVX,COST,DHR,DE,XRAY,DLTR,DOV,DOW,ECL,EC,EXK,ENTG,EOSE,EQNR,EL,EXR,XOM,FCX,FCEL,GD,GPC,GFI,HAL,HMY,HLF,HSY,HD,HON,HBAN,HUT,ILMN,INTC,IREN,JNJ,KB,KGC,KLAC,LHX,LRCX,LMND,LMT,LOW,LTC,LYB,MTB,MRK,MCHP,MU,MRNA,MNST,NNDM,NEM,NMR,NOC,NVS,NVAX,NVO,NUE,NTR,ODFL,PAGS,PBR,PSX,PPG,PWR,RTX,O,RIOT,ROK,SLB,STX,SBSW,SCCO,SBUX,STM,SU,TER,RIG,TWST,ULTA,UMC,UPS,UEC,VALE,VLO,WDC,WPM,WSM,ACP,XLP,SOXL,XLE,PDBC,HDV,ICLN,EWZ,EWY,IWM,SOXX,SLV,XLB,SCHD,GLD,GDX,SMH,VWO,VEA,VXUS,VTV",
2026-01-22,SUCCESS,133,"TXG,AOS,ABCL,ADPT,WMS,AMD,AGCO,AEM,AKAM,ALB,BABA,AME,AMGN,ADI,AU,AMAT,MT,ADM,ASND,ASX,ASML,ASTS,BIDU,BKR,B,BDX,BHP,TECH,BNTX,BA,SAM,BC,CHRW,CVX,CHD,CL,CRSP,DE,XRAY,DXCM,DOCN,DG,DOV,DOW,DD,ECL,EC,EXK,ENPH,ENTG,EOSE,EL,XOM,BEN,FCX,FCEL,GME,GD,GPC,GFI,HAL,HMY,HLF,HON,ILMN,INTC,JNJ,KMI,KGC,KLAC,PHG,LHX,LRCX,LMND,LMT,LOW,LTC,LYB,MTB,MCHP,MU,MRNA,NNDM,NEM,NVAX,NVO,NUE,PAGS,PBR,PFE,PSX,PLUG,PPG,PWR,O,ROK,SLB,STX,SBSW,SEDG,SCCO,SBUX,TER,TMDX,RIG,TWST,ULTA,UMC,UPS,UEC,USB,VALE,WDC,WPM,WSM,ACP,XLP,SOXL,XLE,PDBC,ICLN,EWZ,EWY,IWM,SOXX,SLV,XLB,SCHD,GLD,XBI,GDX,SMH,VEA",
2026-01-23,SUCCESS,95,"TXG,AMD,AEM,AKAM,ALB,AME,AU,BUD,APLD,AMAT,MT,ADM,ASND,ASX,ASML,BKR,BMO,B,BDX,BHP,BNTX,BAH,BC,CVNA,CL,DE,DXCM,DD,EC,EXK,ENTG,XOM,FCX,FCEL,GPC,GILD,GFI,HAL,HMY,HLF,HON,ILMN,INTC,KB,KGC,KLAC,PHG,LHX,LMND,LOW,MU,MRNA,MNST,NNDM,NEM,NEE,NVS,NVAX,NVO,NUE,NTR,PAGS,PBR,PPG,SLB,STX,SBSW,SCCO,SBUX,TTE,RIG,TSN,ULTA,UMC,UPS,UPWK,UEC,VALE,WDC,WPM,XLP,SOXL,XLE,PDBC,ICLN,EWZ,EWY,IWM,SLV,XLB,SCHD,GLD,GDX,VNQI,VEA",
2026-01-26,SUCCESS,72,"AAP,AEM,AKAM,ALB,MO,AMGN,AU,MT,ADM,ASX,ASML,AZO,BKR,B,BHP,BC,CVE,CL,DXCM,DOCN,ECL,EXK,ENTG,XOM,FCX,GME,GPC,GILD,GFI,HMY,HON,HRL,ILMN,KGC,KLAC,LOW,MANU,MU,MRNA,MNST,NEM,NVS,NVAX,NUE,NTR,ONL,PAGS,PBR,PPG,SLB,STX,SBSW,SCCO,TXN,TTE,TSCO,RIG,TSN,UMC,UPS,UEC,VALE,WDC,WPM,ZM,PDBC,ICLN,EWZ,SLV,XLB,GLD,GDX",
2026-01-27,SUCCESS,95,"AGNC,AEM,AKAM,ALB,MO,AMGN,AU,BUD,APLD,AMAT,MT,ADM,ASX,ASML,BKR,BBVA,SAN,BHP,BNTX,BA,BTI,CHRW,CNQ,CVE,CORZ,GLW,DVN,FANG,DOCN,EC,EXK,E,ENTG,EQNR,XOM,GME,GM,GPC,GILD,GFI,HCA,HRL,HSBC,ING,SJM,JNJ,KB,KGC,KLAC,LHX,LRCX,LOW,MU,MRNA,NNDM,NEM,NEE,NOC,NVS,NVAX,NTR,PAGS,PBR,PFE,PM,RTX,SLB,STX,SBSW,SCCO,SYY,WULF,TTE,RIG,TSN,UMC,UEC,VALE,WM,WPM,WMB,ZM,XLP,SOXL,XLE,PDBC,ICLN,EWZ,EWY,SLV,JPIN,GLD,GDX,VEA,VXUS",
2026-01-28,SUCCESS,110,"AGNC,AEM,AKAM,ALB,MO,AU,BUD,AMAT,MT,ADM,ANET,ASX,ASML,ASTS,BKR,B,BHP,BTI,CHRW,CNQ,CVE,CVX,COP,GLW,DVN,FANG,DOCN,DOW,EC,ENB,EXK,E,ENTG,EQNR,XOM,FFIV,FCX,FCEL,GPC,GILD,GFI,HAL,HMY,HON,ING,IREN,JNJ,KB,KMI,KGC,KLAC,LHX,LRCX,LMT,MCHP,MU,MRNA,MSCI,NEM,NEE,NOC,NTR,OXY,PAGS,PBR,PM,PPG,PUK,PWR,RTX,SLB,STX,SBSW,SCCO,SBUX,STM,SU,RUN,SYY,TER,TXN,TTE,RIG,TSN,UMC,UEC,VALE,WM,WDC,WPM,ZM,XLP,SOXL,XLE,PDBC,HDV,ICLN,EWZ,EWY,SOXX,SLV,XLB,SCHD,GLD,USO,GDX,SMH,VTIP,VEA,VXUS",
2026-01-29,SUCCESS,112,"AOS,AGNC,AEM,AKAM,MO,AME,AU,BUD,AMAT,MT,ADM,ANET,ASX,ASML,BKR,BMO,B,BHP,BTI,CHRW,CNQ,CAT,CVE,CF,CVX,COP,GLW,DVN,FANG,EC,EXK,E,ENTG,EQNR,XOM,FCX,GPC,GILD,GFI,HMY,HON,HSBC,JNJ,KB,KMI,KGC,KLAC,LHX,LRCX,LMT,META,MU,MRNA,MSCI,NNDM,NEM,NEE,NMR,NOC,NUE,NTR,OXY,PAGS,PEP,PBR,PFE,PM,PPG,PUK,PWR,RTX,RCL,SLB,STX,SHEL,SBSW,SCCO,LUV,SU,SYY,TER,TXN,TTE,RIG,TSN,UMC,UEC,VALE,VRT,WDC,WPM,ACP,SOXL,XLE,PDBC,HDV,ICLN,IGOV,EWZ,EWY,SOXX,SLV,JEPQ,XLB,GLD,USO,GDX,SMH,VWO,VNQI,VEA,VXUS",
